Target_Cell_Type,Rank,Cell_Name,VT,Delay_Raw,Power_Raw,Delay_Norm,Power_Norm,Avg_Norm_Score,,,,,,,,,,,,,,,,,,
AO332,4,AO332x2_ASAP7_75t_R,RVT,90.4,121.8498,0.4216,0.4967,0.4592,,,,7,bsg_chip_v2,-2.18,-83866.91,446.48,12677,0.01,1,0,0,3.49E+10,1.77E+12,0,0,336
AO332,5,AO332x2_ASAP7_75t_SL,SLVT,62.951,155.425,0,1,0.5,,,,,,,,,,,,,,,,,,
AO332,6,AO332x1_ASAP7_75t_R,RVT,128.055,88.7179,1,0,0.5,,,,,Design,WNS,TNS,Slew Sum,Slew Count,Cap Sum,Cap Count,Fanout Sum,Fanout Count,Leakage Power,Total Power,Max OF,Total OF,
AO333,1,AO333x1_ASAP7_75t_L,LVT,105.987,188.836,0.6549,0.0781,0.3665,,,,,aes_cipher_top,-0.09,-19.6,0,0,0,0,0,0,1.21E+08,7.46E+10,0,0,
AO333,2,AO333x1_ASAP7_75t_SL,SLVT,92.026,215.543,0.4416,0.3032,0.3724,,,,,aes_cipher_top_v2,-0.2,-47.1,0,0,0.02,1,0,0,1.17E+08,3.04E+11,0,0,
AO333,3,AO333x2_ASAP7_75t_L,LVT,73.252,254.8154,0.1548,0.6343,0.3945,,,,,jpeg_encoder,-0.18,-406.4,0,0,0,0,0,0,3.09E+08,1.24E+11,0,0,
AO333,4,AO333x2_ASAP7_75t_R,RVT,91.34,240.4563,0.4311,0.5132,0.4722,,,,,jpeg_encoder_v2,-0.37,-788.2,1.1,55,0,0,0,0,2.17E+08,1.68E+11,0,0,
AO333,5,AO333x2_ASAP7_75t_SL,SLVT,63.122,298.1978,0,1,0.5,,,,,ariane,-1.01,-12748.8,154.5,3798,0.01,1,0,0,5.67E+09,1.49E+11,0,0,
AO333,6,AO333x1_ASAP7_75t_R,RVT,128.579,179.5743,1,0,0.5,,,,,ariane_v2,-2.62,-31256.9,0.1,9,0.02,2,4,2,5.11E+09,1.47E+11,0,0,
AOI21,1,AOI21x1_ASAP7_75t_L,LVT,80.188,2.0379,0.0619,0.2089,0.1354,,,,,bsg_chip,-2.67,-119199.7,832.2,27252,0,0,0,0,3.72E+10,8.11E+11,0,0,
AOI21,2,AOI21x1_ASAP7_75t_R,RVT,100.545,1.4289,0.1582,0.1247,0.1414,,,,,bsg_chip_v2,-2.36,-90412.2,445,12638,0.01,1,0,0,3.49E+10,1.77E+12,0,0,
AOI21,3,AOI21xp5_ASAP7_75t_L,LVT,150.794,1.0055,0.3959,0.0661,0.231,,,,,,,,,,,,,,,,,,
AOI21,4,AOI21xp5_ASAP7_75t_R,RVT,189.215,0.7007,0.5777,0.024,0.3008,,,,,,,,,,,,,,,,,,
AOI21,5,AOI21xp5_ASAP7_75t_SL,SLVT,126.626,3.8563,0.2816,0.4605,0.371,,,,,,,,,,,,,,,,,,
AOI21,6,AOI21xp33_ASAP7_75t_L,LVT,221.954,0.7533,0.7326,0.0312,0.3819,,,,,,,,,,,,,,,,,,
AOI21,7,AOI21xp33_ASAP7_75t_SL,SLVT,186.682,2.8549,0.5657,0.3219,0.4438,,,,,,,,,,,,,,,,,,
AOI21,8,AOI21x1_ASAP7_75t_SL,SLVT,67.109,7.7569,0,1,0.5,,,,,,,,,,,,,,,,,,
AOI21,9,AOI21xp33_ASAP7_75t_R,RVT,278.476,0.5275,1,0,0.5,,,,,,,,,,,,,,,,,,
AOI211,1,AOI211x1_ASAP7_75t_L,LVT,117.251,2.541,0.0896,0.1983,0.144,,,,,,,,,,,,,,,,,,
AOI211,2,AOI211x1_ASAP7_75t_R,RVT,145.817,2.0604,0.2492,0.1079,0.1785,,,,,,,,,,,,,,,,,,
AOI211,3,AOI211xp5_ASAP7_75t_L,LVT,221.087,1.7739,0.6698,0.0539,0.3619,,,,,,,,,,,,,,,,,,
AOI211,4,AOI211xp5_ASAP7_75t_SL,SLVT,184.03,4.0727,0.4628,0.4867,0.4747,,,,,,,,,,,,,,,,,,
AOI211,5,AOI211x1_ASAP7_75t_SL,SLVT,101.211,6.7987,0,1,0.5,,,,,,,,,,,,,,,,,,
AOI211,6,AOI211xp5_ASAP7_75t_R,RVT,280.182,1.4876,1,0,0.5,,,,,,,,,,,,,,,,,,
AOI22,1,AOI22x1_ASAP7_75t_L,LVT,81.612,5.4251,0.0601,0.3266,0.1934,,,,,,,,,,,,,,,,,,
AOI22,2,AOI22x1_ASAP7_75t_R,RVT,101.709,4.4793,0.1557,0.2481,0.2019,,,,,,,,,,,,,,,,,,
AOI22,3,AOI22xp5_ASAP7_75t_L,LVT,151.545,2.564,0.3926,0.0889,0.2408,,,,,,,,,,,,,,,,,,
AOI22,4,AOI22xp5_ASAP7_75t_R,RVT,190.172,2.0928,0.5763,0.0498,0.313,,,,,,,,,,,,,,,,,,
AOI22,5,AOI22xp5_ASAP7_75t_SL,SLVT,127.274,6.5716,0.2772,0.4219,0.3496,,,,,,,,,,,,,,,,,,
AOI22,6,AOI22xp33_ASAP7_75t_L,LVT,222.651,1.8126,0.7307,0.0265,0.3786,,,,,,,,,,,,,,,,,,
AOI22,7,AOI22xp33_ASAP7_75t_SL,SLVT,187.225,4.4901,0.5622,0.249,0.4056,,,,,,,,,,,,,,,,,,
AOI22,8,AOI22x1_ASAP7_75t_SL,SLVT,68.962,13.5298,0,1,0.5,,,,,,,,,,,,,,,,,,
AOI22,9,AOI22xp33_ASAP7_75t_R,RVT,279.304,1.4935,1,0,0.5,,,,,,,,,,,,,,,,,,
AOI221,1,AOI221x1_ASAP7_75t_L,LVT,119.47,6.1235,0.0877,0.2875,0.1876,,,,,,,,,,,,,,,,,,
AOI221,2,AOI221x1_ASAP7_75t_R,RVT,147.207,5.353,0.2433,0.1889,0.2161,,,,,,,,,,,,,,,,,,
AOI221,3,AOI221xp5_ASAP7_75t_L,LVT,221.83,4.3519,0.662,0.0608,0.3614,,,,,,,,,,,,,,,,,,
AOI221,4,AOI221xp5_ASAP7_75t_SL,SLVT,183.917,7.5332,0.4493,0.4679,0.4586,,,,,,,,,,,,,,,,,,
AOI221,5,AOI221x1_ASAP7_75t_SL,SLVT,103.841,11.6918,0,1,0.5,,,,,,,,,,,,,,,,,,
AOI221,6,AOI221xp5_ASAP7_75t_R,RVT,282.077,3.8764,1,0,0.5,,,,,,,,,,,,,,,,,,
AOI31,1,AOI31xp67_ASAP7_75t_L,LVT,85.47,3.0409,0.0571,0.2694,0.1632,,,,,,,,,,,,,,,,,,
AOI31,2,AOI31xp67_ASAP7_75t_R,RVT,106.574,2.4619,0.1594,0.187,0.1732,,,,,,,,,,,,,,,,,,
AOI31,3,AOI31xp33_ASAP7_75t_L,LVT,223.184,1.4333,0.7247,0.0407,0.3827,,,,,,,,,,,,,,,,,,
AOI31,4,AOI31xp33_ASAP7_75t_SL,SLVT,187.693,3.8334,0.5526,0.3821,0.4674,,,,,,,,,,,,,,,,,,
AOI31,5,AOI31xp67_ASAP7_75t_SL,SLVT,73.691,8.1764,0,1,0.5,,,,,,,,,,,,,,,,,,
AOI31,6,AOI31xp33_ASAP7_75t_R,RVT,279.975,1.1475,1,0,0.5,,,,,,,,,,,,,,,,,,
CKINVDC,1,CKINVDCx16_ASAP7_75t_L,LVT,13.49,5.382,0.122,0.0898,0.1059,,,,,,,,,,,,,,,,,,
CKINVDC,2,CKINVDCx20_ASAP7_75t_L,LVT,13.131,6.797,0.0989,0.1162,0.1075,,,,,,,,,,,,,,,,,,
CKINVDC,3,CKINVDCx14_ASAP7_75t_L,LVT,14.609,4.7287,0.1938,0.0776,0.1357,,,,,,,,,,,,,,,,,,
CKINVDC,4,CKINVDCx20_ASAP7_75t_R,RVT,15.553,1.7894,0.2543,0.0227,0.1385,,,,,,,,,,,,,,,,,,
CKINVDC,5,CKINVDCx12_ASAP7_75t_L,LVT,15.265,4.0378,0.2359,0.0647,0.1503,,,,,,,,,,,,,,,,,,
